data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_attualmente_positivi,nuovi_attualmente_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,nuovi_casi,nuovi_tamponi,nuovi_deceduti,nuovi_guariti,(ncasi-nattpos)
10-03,ITA,12,Lazio,41.89277044,12.48366722,50,15,65,34,5,5,11,6,116,3591,,,,,
11-03,ITA,12,Lazio,41.89277044,12.48366722,67,18,85,40,26,26,19,6,150,3591,50,0,0,8,24
12-03,ITA,12,Lazio,41.89277044,12.48366722,85,20,105,67,47,47,19,9,200,5592,77,2001,3,0,30
13-03,ITA,12,Lazio,41.89277044,12.48366722,122,24,146,96,70,70,24,11,277,6491,80,899,2,5,10
14-03,ITA,12,Lazio,41.89277044,12.48366722,181,25,206,114,78,78,24,13,357,7335,79,844,2,0,1
15-03,ITA,12,Lazio,41.89277044,12.48366722,223,31,254,142,76,76,24,16,436,8345,87,1010,3,0,11
16-03,ITA,12,Lazio,41.89277044,12.48366722,267,31,298,174,76,76,32,19,523,9330,84,985,3,8,8
17-03,ITA,12,Lazio,41.89277044,12.48366722,314,44,358,192,78,78,34,23,607,9436,117,106,4,2,39
18-03,ITA,12,Lazio,41.89277044,12.48366722,374,44,418,232,100,100,42,32,724,11145,99,1709,9,8,-1
19-03,ITA,12,Lazio,41.89277044,12.48366722,426,45,471,270,91,91,44,38,823,11145,185,0,6,2,94
20-03,ITA,12,Lazio,41.89277044,12.48366722,537,47,584,328,171,171,53,43,1008,13889,182,2744,5,9,11
21-03,ITA,12,Lazio,41.89277044,12.48366722,591,70,661,425,174,174,54,50,1190,13889,193,0,7,1,19
22-03,ITA,12,Lazio,41.89277044,12.48366722,671,79,750,522,186,186,58,53,1383,17845,157,3956,3,4,-29
23-03,ITA,12,Lazio,41.89277044,12.48366722,718,96,814,600,142,142,63,63,1540,18371,188,526,10,5,46
24-03,ITA,12,Lazio,41.89277044,12.48366722,747,94,841,704,131,131,103,80,1728,18371,188,0,17,40,57
25-03,ITA,12,Lazio,41.89277044,12.48366722,805,101,906,769,1675,130,131,95,1901,20669,173,2298,15,28,43
26-03,ITA,12,Lazio,41.89277044,12.48366722,878,113,991,844,1835,160,155,106,2096,22771,195,2102,11,24,35
27-03,ITA,12,Lazio,41.89277044,12.48366722,992,126,1118,895,2013,178,164,118,2295,24106,199,1335,12,9,21
28-03,ITA,12,Lazio,41.89277044,12.48366722,985,133,1118,1063,2181,168,200,124,2505,27179,210,3073,6,36,42
29-03,ITA,12,Lazio,41.89277044,12.48366722,1062,133,1195,1167,2362,181,208,136,2706,27744,201,565,12,8,20
