data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_attualmente_positivi,nuovi_attualmente_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,nuovi_casi,nuovi_deceduti,nuovi_guariti,nuovi_tamponi,diff(ntot-npos)
27-03,ITA,3,Lombardia,45.46679409,9.190347404,11137,1292,12429,11466,23895,1706,8001,5402,37298,95860,2409,541,162,8147,703
26-03,ITA,3,Lombardia,45.46679409,9.190347404,10681,1263,11944,10245,22189,1598,7839,4861,34889,87713,2543,387,558,6047,945
25-03,ITA,3,Lombardia,45.46679409,9.190347404,10026,1236,11262,9329,20591,723,7281,4474,32346,81666,1643,296,624,4971,920
24-03,ITA,3,Lombardia,45.46679409,9.190347404,9711,1194,10905,8963,19868,958,6657,4178,30703,76695,1942,402,1942,3453,984
23-03,ITA,3,Lombardia,45.46679409,9.190347404,9266,1183,10449,8461,18910,1025,6075,3776,28761,73242,1555,320,1555,2644,530
22-03,ITA,3,Lombardia,45.46679409,9.190347404,9439,1142,10581,7304,17885,515,5865,3456,27206,70598,1691,361,1691,3868,1176
21-03,ITA,3,Lombardia,45.46679409,9.190347404,8258,1093,9351,8019,17370,1950,5050,3095,25515,66730,3251,546,3251,9556,1301
20-03,ITA,3,Lombardia,45.46679409,9.190347404,7735,1050,8785,6635,15420,1482,4295,2549,22264,57174,2380,381,517,4930,898
19-03,ITA,3,Lombardia,45.46679409,9.190347404,7387,1006,8393,5545,13938,1672,3778,2168,19884,52244,2171,209,290,3261,499
18-03,ITA,3,Lombardia,45.46679409,9.190347404,7285,924,8209,4057,12266,171,3488,1959,17713,48983,1493,319,1003,2534,1322
17-03,ITA,3,Lombardia,45.46679409,9.190347404,6953,879,7832,4263,12095,1234,2485,1640,16220,46449,1571,220,117,2884,337
16-03,ITA,3,Lombardia,45.46679409,9.190347404,6171,823,6994,3867,10861,818,2368,1420,14649,43565,1377,202,357,3196,559
15-03,ITA,3,Lombardia,45.46679409,9.190347404,5500,767,6267,3776,10043,984,2011,1218,13272,40369,1587,252,351,3231,603
14-03,ITA,3,Lombardia,45.46679409,9.190347404,4898,732,5630,3429,9059,1327,1660,966,11685,37138,1865,76,462,4438,538
13-03,ITA,3,Lombardia,45.46679409,9.190347404,4435,650,5085,2647,7732,836,1198,890,9820,32700,1095,146,113,3166,259
12-03,ITA,3,Lombardia,45.46679409,9.190347404,4247,605,4852,2044,6896,1133,1085,744,8725,29534,1445,127,185,3905,312
11-03,ITA,3,Lombardia,45.46679409,9.190347404,3852,560,4412,1351,5763,1336,900,617,7280,25629,1489,149,4,4150,153
10-03,ITA,3,Lombardia,45.46679409,9.190347404,3319,466,3785,642,4427,-63,896,468,5791,21479,,,,,
