data,stato,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_attualmente_positivi,nuovi_attualmente_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,nuovi_casi,nuovi_deceduti,nuovi_guariti,nuovi_tamponi,(ncasi-nattpos)
9-03,ITA,4316,733,5049,2936,7985,1598,724,463,9172,53826,,,,,
10-03,ITA,5038,877,5915,2599,8514,529,1004,631,10149,60761,977,168,280,6935,448
11-03,ITA,5838,1028,6866,3724,10590,2076,1045,827,12462,73154,2313,196,41,12393,237
12-03,ITA,6650,1153,7803,5036,12839,2249,1258,1016,15113,86011,2651,189,213,12857,402
13-03,ITA,7426,1328,8754,6201,14955,2116,1439,1266,17660,97488,2547,250,181,11477,431
14-03,ITA,8372,1518,9890,7860,17750,2795,1966,1441,21157,109170,3497,175,527,11682,702
15-03,ITA,9663,1672,11335,9268,20603,2853,2335,1809,24747,124899,3590,368,369,15729,737
16-03,ITA,11025,1851,12876,10197,23073,2470,2749,2158,27980,137962,3233,349,414,13063,763
17-03,ITA,12894,2060,14954,11108,26062,2989,2941,2503,31506,148657,3526,345,192,10695,537
18-03,ITA,14363,2257,16620,12090,28710,2648,4025,2978,35713,165541,4207,475,1084,16884,1559
19-03,ITA,15757,2498,18255,14935,33190,4480,4440,3405,41035,182777,5322,427,415,17236,842
20-03,ITA,16020,2655,18675,19185,37860,4670,5129,4032,47021,206886,5986,627,689,24109,1316
21-03,ITA,17708,2857,20565,22116,42681,4821,6072,4825,53578,233222,6557,793,943,26336,1736
22-03,ITA,19846,3009,22855,23783,46638,3957,7024,5476,59138,258402,5560,651,952,25180,1603
23-03,ITA,20692,3204,23896,26522,50418,3780,7432,6077,63927,275468,4789,601,408,17066,1009
24-03,ITA,21937,3396,25333,28697,54030,3612,8326,6820,69176,296964,5249,743,894,21496,1637
25-03,ITA,23112,3489,26601,30920,57521,3491,9362,7503,74386,324445,5210,683,1036,27481,1719
26-03,ITA,24753,3612,28365,33648,62013,4492,10361,8165,80539,361060,6153,662,999,36615,1661
27-03,ITA,26029,3732,29761,36653,66414,4401,10950,9134,86498,394079,5959,969,589,33019,1558
28-03,ITA,26676,3856,30532,39533,70065,3651,12384,10023,92472,429526,5974,889,1434,35447,2323
29-03,ITA,27386,3906,31292,42588,73880,3815,13030,10779,97689,454030,5217,756,646,24504,1402
30-03,ITA,27795,3981,31776,43752,75528,1648,14620,11591,101739,477359,4050,812,1590,23329,2402
